"Symbol","ENSEMBL"
"DCN","ENSG00000011465"
"COL11A1","ENSG00000060718"
"PDGFRA","ENSG00000134853"
"PDGFRB","ENSG00000113721"
"EPCAM","ENSG00000119888"
"KRT8","ENSG00000170421"
"KRT10","ENSG00000186395"
"KRT18","ENSG00000111057"
"KRT19","ENSG00000171345"
"ACTA2","ENSG00000107796"
"HBB","ENSG00000244734"
"GYPA","ENSG00000170180"
"CLDN5","ENSG00000184113"
"PECAM1","ENSG00000261371"
"CD34","ENSG00000174059"
"ESAM","ENSG00000149564"
"TPSB2","ENSG00000197253"
"LYZ","ENSG00000090382"
"CD14","ENSG00000170458"
"C1QA","ENSG00000173372"
"CLEC10A","ENSG00000132514"
"CD2","ENSG00000116824"
"CD3D","ENSG00000167286"
"CD3E","ENSG00000198851"
"CD3G","ENSG00000160654"
"CD8A","ENSG00000153563"
"CCL5","ENSG00000271503"
"JCHAIN","ENSG00000132465"
"CD79A","ENSG00000105369"
